,Unnamed: 0,Company ID,Companies,Revenue,Business Status,Revenue Growth %,Last Financing Size,Website,LinkedIn URL,Last Financing Valuation,Total Patent Documents,Active Patent Documents,Acquirers,Active Investors,Total Clinical Trials,Year Founded,Business Status Rank,Age,Age Score,Revenue QRank,Revenue Growth % QRank,Last Financing Size QRank,Last Financing Valuation QRank,Total Patent Documents QRank,Active Patent Documents QRank,Total Clinical Trials QRank,Weighted Company Score,Company Score,total_investor_score,avg_investor_score,Final Score,Company Maturity
1207,1211,82121-05,Acerno,0.0,Generating Revenue,0.0,90.81,acerno.com,http://www.linkedin.com/company/acerno,90.81,0.0,0.0,Akamai Technologies,Unknown,0.0,2004.0,8,21.0,4,0.0,0.0,6.0,6.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1804,1822,62309-44,PI-VR,0.0,Generating Revenue,0.0,63.36,www.pi-vr.de,Unknown,63.36,0.0,0.0,Autodesk,Unknown,0.0,2008.0,8,17.0,4,0.0,0.0,6.0,6.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
2106,2130,137549-44,WPM Education,0.0,Generating Revenue,0.0,79.42,www.wpmgroup.com,Unknown,79.42,0.0,0.0,Flywire,Unknown,0.0,2000.0,8,25.0,4,0.0,0.0,6.0,6.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
960,960,159693-31,Magillem Design Services,7.8,Generating Revenue,32.06,7.8,www.magillem.com,Unknown,7.8,0.0,0.0,Arteris,Unknown,0.0,2006.0,8,19.0,4,2.0,8.0,2.0,2.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
334,334,481297-15,IFMG Securities,157.92,Generating Revenue,2.95,0.0,Unknown,Unknown,0.0,0.0,0.0,LPL Financial Holdings,Unknown,0.0,1991.0,8,34.0,4,8.0,2.0,0.0,0.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1376,1382,234992-17,ClotPro,0.0,Generating Revenue,0.0,20.5,www.clot.pro,Unknown,20.5,31.0,24.0,Haemonetics,Unknown,0.0,1995.0,8,30.0,4,0.0,0.0,4.0,3.0,6.0,5.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1958,1979,95220-46,SMobile Systems,0.0,Generating Revenue,0.0,69.5,smobilesystems.com,http://www.linkedin.com/company/smobile-systems,69.5,0.0,0.0,Juniper Networks,Unknown,0.0,2002.0,8,23.0,4,0.0,0.0,6.0,6.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
940,940,149340-34,Aspect Huntley,8.83,Generating Revenue,0.0,22.44,www.aspecthuntley.com.au,Unknown,22.44,0.0,0.0,Morningstar,Unknown,0.0,2003.0,8,22.0,4,3.0,0.0,4.0,4.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1128,1129,322386-40,Wild Streak Gaming,1.05,Generating Revenue,0.0,30.0,www.wildstreakgaming.com,Unknown,30.0,0.0,0.0,Bragg Gaming Group,Unknown,0.0,2015.0,8,10.0,10,1.0,0.0,4.0,4.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1671,1683,89628-31,Luum (Business/Productivity Software),0.0,Generating Revenue,0.0,70.5,www.luumbenefits.com,http://www.linkedin.com/company/luum,70.5,0.0,0.0,HealthEquity,Unknown,0.0,2012.0,8,13.0,4,0.0,0.0,6.0,6.0,0.0,0.0,0.0,59.0,35.83061889250814,0.0,0.0,17.91530944625407,17.91530944625407
1477,1483,330863-23,Electronic Media Systems,0.0,Generating Revenue,0.0,0.0,www.electronicmediasystems.com,Unknown,0.0,0.0,0.0,Boingo Wireless,Unknown,0.0,1988.0,8,37.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.24104234527687,17.371466100925957,17.371466100925957,17.806254223101412,17.806254223101412
1604,1613,279511-66,Insig (Medical Records Systems),0.0,Generating Revenue,0.0,28.44,www.tiahealth.com,http://www.linkedin.com/company/insigglobal,47.4,0.0,0.0,WELL Health Technologies,Unknown,0.0,2015.0,8,10.0,10,0.0,0.0,4.0,5.0,0.0,0.0,0.0,58.5,35.50488599348534,0.0,0.0,17.75244299674267,17.75244299674267
1702,1716,122633-92,Minnesota Scientific,0.0,Generating Revenue,0.0,17.1,www.omnitract.com,Unknown,17.1,136.0,22.0,Integra Lifesciences,Unknown,0.0,1971.0,8,54.0,4,0.0,0.0,3.0,3.0,7.0,5.0,0.0,58.5,35.50488599348534,0.0,0.0,17.75244299674267,17.75244299674267
1072,1073,95242-42,Tilting Motor Works,2.79,Out of Business,0.0,0.0,www.tiltingmotorworks.com,Unknown,0.0,1.0,0.0,Unknown,Unknown,0.0,2008.0,0,17.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,2.931596091205212,453.90977853529915,32.42212703823565,17.676861564720433,17.676861564720433
666,666,459407-98,ChargeSavvy,30.0,Generating Revenue,0.0,12.14,www.chargesavvy.com,Unknown,12.14,0.0,0.0,RYVYL,Unknown,0.0,0.0,8,2025.0,4,5.0,0.0,3.0,2.0,0.0,0.0,0.0,58.0,35.179153094462535,0.0,0.0,17.589576547231268,17.589576547231268
828,828,342141-40,Custom Biogenic Systems,15.0,Generating Revenue,0.0,6.2,www.custombiogenics.com,http://www.linkedin.com/company/custom-biogenic-systems-inc,6.2,17.0,8.0,Standex International,Unknown,0.0,1987.0,8,38.0,4,3.0,0.0,2.0,2.0,4.0,4.0,0.0,58.0,35.179153094462535,0.0,0.0,17.589576547231268,17.589576547231268
995,996,126312-13,JenQuest,6.2,Generating Revenue,11.55,11.25,www.certsonline.com,Unknown,11.25,4.0,1.0,Ebix (Financial Software),Unknown,0.0,1990.0,8,35.0,4,2.0,5.0,2.0,2.0,2.0,1.0,0.0,58.0,35.179153094462535,0.0,0.0,17.589576547231268,17.589576547231268
1161,1162,327233-08,Restaurant Magic,0.19,Generating Revenue,0.0,42.0,www.restaurantmagic.com,Unknown,42.0,0.0,0.0,Par Technology,Unknown,0.0,1989.0,8,36.0,4,1.0,0.0,5.0,5.0,0.0,0.0,0.0,57.5,34.85342019543974,0.0,0.0,17.42671009771987,17.42671009771987
848,848,232157-62,SolarBOS,13.5,Generating Revenue,0.0,6.37,www.solarbos.com,Unknown,6.37,15.0,7.0,Gibraltar Industries,Unknown,0.0,2004.0,8,21.0,4,3.0,0.0,2.0,2.0,4.0,3.0,0.0,57.5,34.85342019543974,0.0,0.0,17.42671009771987,17.42671009771987
1850,1870,222838-84,Quickthree Solutions,0.0,Generating Revenue,0.0,42.75,www.quickthree.ca,Unknown,42.75,4.0,0.0,Smart Sand,Unknown,0.0,2011.0,8,14.0,4,0.0,0.0,5.0,5.0,2.0,0.0,0.0,57.5,34.85342019543974,0.0,0.0,17.42671009771987,17.42671009771987
782,782,153811-72,Aerex Industries,19.0,Generating Revenue,0.0,8.5,www.aerexglobal.com,http://www.linkedin.com/company/aerex-industries-inc.,17.34,1.0,0.0,Consolidated Water Company,Unknown,0.0,1991.0,8,34.0,4,4.0,0.0,2.0,3.0,1.0,0.0,0.0,57.0,34.527687296416936,0.0,0.0,17.263843648208468,17.263843648208468
1332,1337,10969-93,Cable & Wireless Worldwide,0.0,Profitable,0.0,755.0,www.cw.com,Unknown,0.0,0.0,0.0,Vodafone Group,Unknown,0.0,1983.0,10,42.0,4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,57.0,34.527687296416936,0.0,0.0,17.263843648208468,17.263843648208468
992,993,62363-26,Augmentum Consulting,6.26,Generating Revenue,32.05,4.3,ctn.com,Unknown,8.42,0.0,0.0,CTPartners Executive Search,Unknown,0.0,2002.0,8,23.0,4,2.0,8.0,1.0,2.0,0.0,0.0,0.0,57.0,34.527687296416936,0.0,0.0,17.263843648208468,17.263843648208468
576,576,103501-90,Wantickets RDM,50.0,Profitable,0.0,0.0,wantickets.com,Unknown,0.0,0.0,0.0,LiveXLive,Unknown,0.0,1999.0,10,26.0,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,34.527687296416936,0.0,0.0,17.263843648208468,17.263843648208468
1704,1718,61675-75,Mirth,0.0,Generating Revenue,0.0,56.22,www.mirthcorp.com,Unknown,56.22,0.0,0.0,NextGen Healthcare,Unknown,0.0,1993.0,8,32.0,4,0.0,0.0,6.0,5.0,0.0,0.0,0.0,56.5,34.20195439739413,0.0,0.0,17.100977198697066,17.100977198697066
964,964,102518-92,Providigm,7.5,Generating Revenue,0.58,18.5,www.providigm.com,Unknown,18.5,5.0,1.0,HealthStream,Unknown,0.0,2006.0,8,19.0,4,2.0,1.0,3.0,3.0,2.0,1.0,0.0,56.5,34.20195439739413,0.0,0.0,17.100977198697066,17.100977198697066
1906,1926,96671-08,Scaleform,0.0,Generating Revenue,0.0,36.2,www.gameware.autodesk.com,http://www.linkedin.com/company/scaleform,36.2,3.0,1.0,Autodesk,Unknown,0.0,2004.0,8,21.0,4,0.0,0.0,5.0,5.0,1.0,1.0,0.0,56.5,34.20195439739413,0.0,0.0,17.100977198697066,17.100977198697066
1710,1724,125411-95,Mobile Collect,0.0,Generating Revenue,0.0,2.5,www.mobilecollect.com,Unknown,2.5,0.0,0.0,SoundBite Communications,Unknown,0.0,2005.0,8,20.0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,36.5,21.17263843648208,12.83977929198875,12.83977929198875,17.006208864235415,17.006208864235415
